chr_rna_RCH	start_rna_RCH	end_rna_RCH	gene_name__RCH	score	str_RCH	gene_type_RCH	gene_name_not_uniq_RCH	from_RCH	id_RCH	chr_rna	start_rna	end_rna	gene_name	lala	str	gene_id	overlap	merge_len	overlap/merge_len	len_RCH	len
chr12	110032245	110032803	AC007546.1	100	+	lncRNA	AC007546.1	gencode	53472	chr12	110032244	110032803	AC007546.1	100	+	ENSG00000277595.1	558	559	0.998211091234347	559	560
chr12	110387463	110445548	AC144548.1	100	-	lncRNA	AC144548.1	gencode	53517	chr12	110387462	110445548	AC144548.1	100	-	ENSG00000258210.1	58085	58086	0.9999827841476432	58086	58087
chr12	110501614	110503441	AC002350.2	100	+	TEC	AC002350.2	gencode	53534	chr12	110501613	110503441	AC002350.1	100	+	ENSG00000278993.1	1827	1828	0.99945295404814	1828	1829
chr12	110934590	110959093	LINC01405	100	+	lncRNA	LINC01405	gencode	53582	chr12	110934589	110959093	LINC01405	100	+	ENSG00000185847.8	24503	24504	0.9999591903362717	24504	24505
chr12	111599498	111600256	ATXN2-AS	100	+	lncRNA	ATXN2-AS	gencode	53647	chr12	111599497	111600256	ATXN2-AS	100	+	ENSG00000258099.1	758	759	0.9986824769433466	759	760
chr12	111839764	111842902	MAPKAPK5-AS1	100	-	lncRNA	MAPKAPK5-AS1	gencode	53680	chr12	111839763	111842902	MAPKAPK5-AS1	100	-	ENSG00000234608.8	3138	3139	0.9996814272061166	3139	3140
chr12	113249466	113250042	AC089999.2	100	+	lncRNA	AC089999.2	gencode	53832	chr12	113249465	113250042	AC089999.2	100	+	ENSG00000277566.1	576	577	0.9982668977469671	577	578
chr12	113583886	113773726	LINC01234	100	-	lncRNA	LINC01234	gencode	53877	chr12	113583885	113773726	LINC01234	100	-	ENSG00000249550.7	189840	189841	0.9999947324339842	189841	189842
chr12	114408173	114412831	TBX5-AS1	100	+	lncRNA	TBX5-AS1	gencode	53947	chr12	114408172	114412831	TBX5-AS1	100	+	ENSG00000255399.4	4658	4659	0.9997853616655935	4659	4660
chr12	115299588	115300708	AC078880.3	100	-	lncRNA	AC078880.3	gencode	54006	chr12	115299587	115300708	AC078880.3	100	-	ENSG00000271579.1	1120	1121	0.9991079393398751	1121	1122
chr12	116533422	116536518	LINC00173	100	+	lncRNA	LINC00173	gencode	54100	chr12	116533421	116536518	LINC00173	100	+	ENSG00000196668.4	3096	3097	0.9996771068776235	3097	3098
chr12	117002463	117003152	AC026368.1	100	+	lncRNA	AC026368.1	gencode	54137	chr12	117002462	117003152	AC026368.1	100	+	ENSG00000277840.1	689	690	0.9985507246376811	690	691
chr12	118024817	118025518	AC131159.2	100	-	lncRNA	AC131159.2	gencode	54219	chr12	118024816	118025518	AC131159.2	100	-	ENSG00000277873.1	701	702	0.9985754985754985	702	703
chr12	118428281	118428870	AC026367.3	100	+	lncRNA	AC026367.3	gencode	54260	chr12	118428280	118428870	AC026367.3	100	+	ENSG00000275759.1	589	590	0.9983050847457627	590	591
chr12	118430147	118430699	AC026367.2	100	+	lncRNA	AC026367.2	gencode	54261	chr12	118430146	118430699	AC026367.2	100	+	ENSG00000275409.1	552	553	0.9981916817359855	553	554
chr12	119361247	119668079	AC002070.1	100	-	lncRNA	AC002070.1	gencode	54311	chr12	119361246	119668079	AC002070.1	100	-	ENSG00000248636.7	306832	306833	0.9999967408981433	306833	306834
chr12	120116907	120119000	AC004812.2	100	+	lncRNA	AC004812.2	gencode	54357	chr12	120116906	120119000	AC004812.2	100	+	ENSG00000277283.1	2093	2094	0.9995224450811844	2094	2095
chr12	120201291	120213231	PXN-AS1	100	+	lncRNA	PXN-AS1	gencode	54377	chr12	120201290	120213231	PXN-AS1	100	+	ENSG00000255857.6	11940	11941	0.9999162549200235	11941	11942
chr12	120488079	120495946	NRAV	100	-	lncRNA	NRAV	gencode	54446	chr12	120488078	120495946	NRAV	100	-	ENSG00000248008.3	7867	7868	0.9998729028978139	7868	7869
chr12	120941728	120980965	HNF1A-AS1	100	-	lncRNA	HNF1A-AS1	gencode	54519	chr12	120941727	120980965	HNF1A-AS1	100	-	ENSG00000241388.5	39237	39238	0.9999745145012487	39238	39239
chr12	121580792	121593504	KDM2B-DT	100	+	lncRNA	KDM2B-DT	gencode	54602	chr12	121580791	121593504	AC145422.1	100	+	ENSG00000256742.1	12712	12713	0.9999213403602611	12713	12714
chr12	121795267	121803906	LINC01089	100	-	lncRNA	LINC01089	gencode	54641	chr12	121795266	121803906	LINC01089	100	-	ENSG00000212694.8	8639	8640	0.9998842592592593	8640	8641
chr12	121800797	121803403	AC084018.2	100	+	lncRNA	AC084018.2	gencode	54644	chr12	121800796	121803403	AC084018.2	100	+	ENSG00000274292.1	2606	2607	0.9996164173379364	2607	2608
chr12	122063306	122068616	AC156455.1	100	+	lncRNA	AC156455.1	gencode	54690	chr12	122063305	122068616	AC156455.1	100	+	ENSG00000256546.2	5310	5311	0.9998117115420825	5311	5312
chr12	122634130	122634673	AC026333.4	100	+	lncRNA	AC026333.4	gencode	54767	chr12	122634129	122634673	AC026333.4	100	+	ENSG00000274191.1	543	544	0.9981617647058824	544	545
chr12	122870059	122888720	AC027290.2	100	-	TEC	AC027290.2	gencode	54818	chr12	122870058	122888720	AC027290.2	100	-	ENSG00000280138.1	18661	18662	0.9999464151752224	18662	18663
chr12	123087256	123092821	AC026362.2	100	-	TEC	AC026362.2	gencode	54862	chr12	123087255	123092821	AC026362.2	100	-	ENSG00000280381.1	5565	5566	0.9998203377650018	5566	5567
chr12	123152324	123153377	AC073857.1	100	-	TEC	AC073857.1	gencode	54876	chr12	123152323	123153377	AC073857.1	100	-	ENSG00000280120.1	1053	1054	0.9990512333965844	1054	1055
chr12	123363868	123366113	SBNO1-AS1	100	+	lncRNA	SBNO1-AS1	gencode	54900	chr12	123363867	123366113	AC137767.1	100	+	ENSG00000256092.2	2245	2246	0.9995547640249333	2246	2247
chr12	123519390	123519856	AC145423.3	100	-	lncRNA	AC145423.3	gencode	54933	chr12	123519389	123519856	AC145423.3	100	-	ENSG00000278112.1	466	467	0.9978586723768736	467	468
chr12	123575891	123585115	TMED2-DT	100	-	lncRNA	TMED2-DT	gencode	54946	chr12	123575890	123585115	AC055713.1	100	-	ENSG00000247373.3	9224	9225	0.9998915989159891	9225	9226
chr12	123649068	123650485	AC117503.3	100	+	TEC	AC117503.3	gencode	54964	chr12	123649067	123650485	AC117503.3	100	+	ENSG00000279953.1	1417	1418	0.9992947813822285	1418	1419
chr12	123655528	123656128	AC117503.2	100	+	TEC	AC117503.2	gencode	54966	chr12	123655527	123656128	AC117503.2	100	+	ENSG00000278861.1	600	601	0.9983361064891847	601	602
chr12	123925461	123934984	DNAH10OS	100	-	lncRNA	DNAH10OS	gencode	54992	chr12	123925460	123934984	DNAH10OS	100	-	ENSG00000250091.3	9523	9524	0.999895002099958	9524	9525
chr12	123960717	123961244	AC068790.7	100	-	lncRNA	AC068790.7	gencode	54995	chr12	123960716	123961244	AC068790.7	100	-	ENSG00000270130.1	527	528	0.9981060606060606	528	529
chr12	123966077	123966629	AC068790.3	100	-	lncRNA	AC068790.3	gencode	54998	chr12	123966076	123966629	AC068790.3	100	-	ENSG00000269997.1	552	553	0.9981916817359855	553	554
chr12	123968023	123968579	AC068790.2	100	-	lncRNA	AC068790.2	gencode	54999	chr12	123968022	123968579	AC068790.2	100	-	ENSG00000269938.1	556	557	0.9982046678635548	557	558
chr12	123969990	123970344	AC068790.5	100	-	lncRNA	AC068790.5	gencode	55000	chr12	123969989	123970344	AC068790.5	100	-	ENSG00000270061.1	354	355	0.9971830985915493	355	356
chr12	124085761	124088598	AC068790.9	100	+	lncRNA	AC068790.9	gencode	55011	chr12	124085760	124088598	AC068790.9	100	+	ENSG00000275389.1	2837	2838	0.9996476391825229	2838	2839
chr12	125138245	125141711	AC122688.3	100	+	TEC	AC122688.3	gencode	55235	chr12	125138244	125141711	AC122688.3	100	+	ENSG00000279233.1	3466	3467	0.9997115661955581	3467	3468
chr12	125958688	125983665	LINC00939	100	-	lncRNA	LINC00939	gencode	55282	chr12	125958687	125983665	LINC00939	100	-	ENSG00000249267.7	24977	24978	0.9999599647689967	24978	24979
chr12	127147149	127150081	AC079949.2	100	+	lncRNA	AC079949.2	gencode	55339	chr12	127147148	127150081	AC079949.2	100	+	ENSG00000278266.1	2932	2933	0.9996590521650187	2933	2934
chr12	128288159	128289056	AC061709.3	100	+	TEC	AC061709.3	gencode	55425	chr12	128288158	128289056	AC061709.3	100	+	ENSG00000279180.1	897	898	0.9988864142538976	898	899
chr12	128813186	128814750	AC108704.2	100	-	TEC	AC108704.2	gencode	55454	chr12	128813185	128814750	AC108704.2	100	-	ENSG00000279500.1	1564	1565	0.9993610223642172	1565	1566
chr12	130144315	130162256	FZD10-AS1	100	-	lncRNA	FZD10-AS1	gencode	55528	chr12	130144314	130162256	FZD10-AS1	100	-	ENSG00000250208.6	17941	17942	0.9999442648534166	17942	17943
chr12	130465008	130466315	AC063926.2	100	-	TEC	AC063926.2	gencode	55553	chr12	130465007	130466315	AC063926.2	100	-	ENSG00000279146.1	1307	1308	0.9992354740061162	1308	1309
chr12	130962175	130963028	AC073862.4	100	+	TEC	AC073862.4	gencode	55605	chr12	130962174	130963028	AC073862.4	100	+	ENSG00000279976.1	853	854	0.9988290398126464	854	855
chr12	130976786	130978812	AC073862.5	100	+	TEC	AC073862.5	gencode	55606	chr12	130976785	130978812	AC073862.5	100	+	ENSG00000280200.1	2026	2027	0.9995066600888012	2027	2028
chr12	131896500	131898239	AC131009.4	100	+	TEC	AC131009.4	gencode	55729	chr12	131896499	131898239	AC131009.4	100	+	ENSG00000279283.1	1739	1740	0.9994252873563219	1740	1741
chr12	131934642	131934928	AC131009.3	100	+	lncRNA	AC131009.3	gencode	55739	chr12	131934641	131934928	AC131009.3	100	+	ENSG00000273568.1	286	287	0.9965156794425087	287	288
chr12	132186735	132189695	LINC02361	100	-	lncRNA	LINC02361	gencode	55796	chr12	132186734	132189695	LINC02361	100	-	ENSG00000256576.2	2960	2961	0.999662276258021	2961	2962
chr12	132277349	132280900	AC148477.2	100	+	lncRNA	AC148477.2	gencode	55809	chr12	132277348	132280900	AC148477.2	100	+	ENSG00000256542.2	3551	3552	0.9997184684684685	3552	3553
chr12	132424504	132425208	AC148476.1	100	-	lncRNA	AC148476.1	gencode	55850	chr12	132424503	132425208	AC148476.1	100	-	ENSG00000274373.1	704	705	0.9985815602836879	705	706
chr12	132550729	132554947	AC131212.3	100	+	TEC	AC131212.3	gencode	55889	chr12	132550728	132554947	AC131212.3	100	+	ENSG00000280287.1	4218	4219	0.9997629770087698	4219	4220
chr12	132565071	132566425	AC131212.2	100	+	TEC	AC131212.2	gencode	55892	chr12	132565070	132566425	AC131212.2	100	+	ENSG00000279700.1	1354	1355	0.9992619926199262	1355	1356
chr12	132621999	132622973	AC131212.4	100	-	TEC	AC131212.4	gencode	55907	chr12	132621998	132622973	AC131212.4	100	-	ENSG00000280311.1	974	975	0.9989743589743589	975	976
chr12	132887842	132888583	AC127070.1	100	+	lncRNA	AC127070.1	gencode	55977	chr12	132887841	132888583	AC127070.1	100	+	ENSG00000236617.2	741	742	0.9986522911051213	742	743
chr12	132911470	132914732	AC127070.2	100	+	lncRNA	AC127070.2	gencode	55980	chr12	132911469	132914732	AC127070.2	100	+	ENSG00000250790.4	3262	3263	0.9996935335580754	3263	3264
chr13	20092632	20094144	AL138688.2	100	+	TEC	AL138688.2	gencode	56189	chr13	20092631	20094144	AL138688.2	100	+	ENSG00000279951.1	1512	1513	0.9993390614672836	1513	1514
chr13	20699307	20703718	AL161772.1	100	-	lncRNA	AL161772.1	gencode	56238	chr13	20699306	20703718	AL161772.1	100	-	ENSG00000278291.1	4411	4412	0.9997733454215775	4412	4413
chr13	20768876	20769375	AL512652.1	100	-	lncRNA	AL512652.1	gencode	56248	chr13	20768875	20769375	AL512652.1	100	-	ENSG00000275485.1	499	500	0.998	500	501
chr13	21302862	21348721	LINC00539	100	-	lncRNA	LINC00539	gencode	56294	chr13	21302861	21348721	LINC00539	100	-	ENSG00000224429.8	45859	45860	0.9999781945050152	45860	45861
chr13	22040972	22276526	LINC00540	100	+	lncRNA	LINC00540	gencode	56351	chr13	22040971	22276526	AL136962.1	100	+	ENSG00000276476.3	235554	235555	0.9999957547069687	235555	235556
chr13	23465776	23487712	LINC00327	100	+	lncRNA	LINC00327	gencode	56425	chr13	23465775	23487712	LINC00327	100	+	ENSG00000232977.7	21936	21937	0.9999544149154397	21937	21938
chr13	23888842	23897263	PCOTH	100	+	lncRNA	PCOTH	gencode	56449	chr13	23888841	23897263	PCOTH	100	+	ENSG00000205861.12	8421	8422	0.9998812633578722	8422	8423
chr13	23979810	24035027	SPATA13_2	100	+	lncRNA	SPATA13	gencode	56461	chr13	23979809	24035027	AL445985.1	100	+	ENSG00000228741.2	55217	55218	0.9999818899634177	55218	55219
chr13	24566873	24597676	AL359538.1	100	+	lncRNA	AL359538.1	gencode	56512	chr13	24566872	24597676	AL359538.1	100	+	ENSG00000243008.2	30803	30804	0.9999675366835475	30804	30805
chr13	25300124	25301438	AL590787.1	100	-	lncRNA	AL590787.1	gencode	56570	chr13	25300123	25301438	AL590787.1	100	-	ENSG00000260509.2	1314	1315	0.9992395437262357	1315	1316
chr13	27236282	27250711	LINC00412	100	-	lncRNA	LINC00412	gencode	56727	chr13	27236281	27250711	LINC00412	100	-	ENSG00000234772.2	14429	14430	0.9999306999306999	14430	14431
chr13	27953526	27955370	LINC00543	100	+	lncRNA	LINC00543	gencode	56813	chr13	27953525	27955370	LINC00543	100	+	ENSG00000260704.1	1844	1845	0.9994579945799458	1845	1846
chr13	28136843	28138193	PAN3-AS1	100	-	lncRNA	PAN3-AS1	gencode	56832	chr13	28136842	28138193	PAN3-AS1	100	-	ENSG00000261485.1	1350	1351	0.999259807549963	1351	1352
chr13	28495633	28497267	AL139005.1	100	+	TEC	AL139005.1	gencode	56856	chr13	28495632	28497267	AL139005.1	100	+	ENSG00000279393.1	1634	1635	0.999388379204893	1635	1636
chr13	30103178	30108895	LINC00365	100	-	lncRNA	LINC00365	gencode	56985	chr13	30103177	30108895	LINC00365	100	-	ENSG00000224511.2	5717	5718	0.9998251136761105	5718	5719
chr13	30151886	30159621	LINC00384	100	-	lncRNA	LINC00384	gencode	56997	chr13	30151885	30159621	LINC00384	100	-	ENSG00000232117.2	7735	7736	0.9998707342295761	7736	7737
chr13	30340267	30377145	LINC00426	100	-	lncRNA	LINC00426	gencode	57023	chr13	30340266	30377145	LINC00426	100	-	ENSG00000238121.6	36878	36879	0.9999728842972966	36879	36880
chr13	30344672	30347167	AL356750.1	100	+	TEC	AL356750.1	gencode	57025	chr13	30344671	30347167	AL356750.1	100	+	ENSG00000279149.1	2495	2496	0.9995993589743589	2496	2497
chr13	32504506	32509395	N4BP2L2-IT2	100	-	lncRNA	N4BP2L2-IT2	gencode	57180	chr13	32504505	32509395	N4BP2L2-IT2	100	-	ENSG00000281026.1	4889	4890	0.9997955010224949	4890	4891
chr13	32782874	32788178	AL138820.1	100	+	lncRNA	AL138820.1	gencode	57189	chr13	32782873	32788178	AL138820.1	100	+	ENSG00000277151.1	5304	5305	0.9998114985862394	5305	5306
chr13	33158587	33164409	STARD13-IT1	100	-	lncRNA	STARD13-IT1	gencode	57225	chr13	33158586	33164409	STARD13-IT1	100	-	ENSG00000230300.1	5822	5823	0.9998282672162115	5823	5824
chr13	33333679	33335277	LINC02344	100	-	lncRNA	LINC02344	gencode	57232	chr13	33333678	33335277	LINC02344	100	-	ENSG00000227911.3	1598	1599	0.9993746091307066	1599	1600
chr13	33336216	33336716	AL138999.1	100	-	lncRNA	AL138999.1	gencode	57234	chr13	33336215	33336716	AL138999.1	100	-	ENSG00000277386.1	500	501	0.998003992015968	501	502
chr13	33355206	33676796	AL139383.1	100	-	lncRNA	AL139383.1	gencode	57235	chr13	33355205	33676796	AL139383.1	100	-	ENSG00000230490.3	321590	321591	0.999996890460243	321591	321592
chr13	33846190	33850825	AL161891.1	100	+	lncRNA	AL161891.1	gencode	57258	chr13	33846189	33850825	AL161891.1	100	+	ENSG00000276672.1	4635	4636	0.9997842968075927	4636	4637
chr13	36346431	36369601	SPART-AS1	100	+	lncRNA	SPART-AS1	gencode	57362	chr13	36346430	36369601	SPART-AS1	100	+	ENSG00000120664.11	23170	23171	0.9999568426049804	23171	23172
chr13	36849366	36850046	SMAD9-IT1	100	-	lncRNA	SMAD9-IT1	gencode	57405	chr13	36849365	36850046	SMAD9-IT1	100	-	ENSG00000236711.2	680	681	0.9985315712187959	681	682
chr13	37934298	38066444	LINC02334	100	+	lncRNA	LINC02334	gencode	57472	chr13	37934297	38066444	LINC02334	100	+	ENSG00000274317.2	132146	132147	0.9999924326696784	132147	132148
chr13	38050817	38350259	LINC00571	100	-	lncRNA	LINC00571	gencode	57480	chr13	38050816	38350259	LINC00571	100	-	ENSG00000223685.6	299442	299443	0.9999966604662657	299443	299444
chr13	40079106	40535807	LINC00598	100	-	lncRNA	LINC00598	gencode	57565	chr13	40079105	40535807	LINC00598	100	-	ENSG00000215483.11	456701	456702	0.9999978103883933	456702	456703
chr13	41132939	41236686	AL354696.2	100	+	lncRNA	AL354696.2	gencode	57663	chr13	41132938	41236686	AL354696.2	100	+	ENSG00000278390.5	103747	103748	0.9999903612599761	103748	103749
chr13	41229180	41229676	AL354696.1	100	-	lncRNA	AL354696.1	gencode	57673	chr13	41229179	41229676	AL354696.1	100	-	ENSG00000277662.1	496	497	0.9979879275653923	497	498
chr13	44110451	44240517	SMIM2-AS1	100	+	lncRNA	SMIM2-AS1	gencode	57853	chr13	44110450	44240517	SMIM2-AS1	100	+	ENSG00000227258.6	130066	130067	0.9999923116547625	130067	130068
chr13	44400250	44405984	TUSC8	100	-	lncRNA	TUSC8	gencode	57879	chr13	44400249	44405984	TUSC8	100	-	ENSG00000237361.3	5734	5735	0.9998256320836966	5735	5736
chr13	45341345	45417975	TPT1-AS1	100	+	lncRNA	TPT1-AS1	gencode	57991	chr13	45341344	45417975	TPT1-AS1	100	+	ENSG00000170919.16	76630	76631	0.9999869504508619	76631	76632
chr13	46052497	46161379	CPB2-AS1	100	+	lncRNA	CPB2-AS1	gencode	58045	chr13	46052496	46161379	CPB2-AS1	100	+	ENSG00000235903.9	108882	108883	0.9999908158298357	108883	108884
chr13	46717423	46717688	AL359880.1	100	+	lncRNA	AL359880.1	gencode	58092	chr13	46717422	46717688	AL359880.1	100	+	ENSG00000278462.1	265	266	0.9962406015037594	266	267
chr13	47930153	47932622	LINC00562	100	-	lncRNA	LINC00562	gencode	58155	chr13	47930152	47932622	LINC00562	100	-	ENSG00000260388.2	2469	2470	0.9995951417004049	2470	2471
chr13	48001389	48002552	SUCLA2-AS1	100	+	lncRNA	SUCLA2-AS1	gencode	58158	chr13	48001388	48002552	SUCLA2-AS1	100	+	ENSG00000227848.1	1163	1164	0.9991408934707904	1164	1165
chr13	48296162	48303661	RB1-DT	100	-	lncRNA	RB1-DT	gencode	58180	chr13	48296161	48303661	RB1-DT	100	-	ENSG00000231473.3	7499	7500	0.9998666666666667	7500	7501
chr13	49956670	50125720	DLEU2	100	-	lncRNA	DLEU2	gencode	58313	chr13	49956669	50125720	DLEU2	100	-	ENSG00000231607.12	169050	169051	0.9999940846253498	169051	169052
chr13	50082169	50906856	DLEU1	100	+	lncRNA	DLEU1	gencode	58330	chr13	50082168	50906856	DLEU1	100	+	ENSG00000176124.14	824687	824688	0.9999987874202122	824688	824689
chr13	50125816	50128463	AL137060.3	100	+	lncRNA	AL137060.3	gencode	58334	chr13	50125815	50128463	AL137060.1	100	+	ENSG00000274270.1	2647	2648	0.9996223564954683	2648	2649
chr13	51452364	51554678	INTS6-AS1	100	+	lncRNA	INTS6-AS1	gencode	58411	chr13	51452363	51554678	INTS6-AS1	100	+	ENSG00000236778.8	102314	102315	0.9999902262620339	102315	102316
chr13	51803838	51813832	AL162377.1	100	+	lncRNA	AL162377.1	gencode	58450	chr13	51803837	51813832	AL162377.1	100	+	ENSG00000231856.2	9994	9995	0.9998999499749875	9995	9996
chr13	52454775	52455331	AL359513.1	100	-	lncRNA	AL359513.1	gencode	58507	chr13	52454774	52455331	AL359513.1	100	-	ENSG00000278238.1	556	557	0.9982046678635548	557	558
chr13	52600042	52642542	AL137058.2	100	+	lncRNA	AL137058.2	gencode	58515	chr13	52600041	52642542	AL137058.2	100	+	ENSG00000273784.4	42500	42501	0.9999764711418555	42501	42502
chr13	52651305	52652279	SUGT1-DT	100	-	lncRNA	SUGT1-DT	gencode	58520	chr13	52651304	52652279	AL139089.1	100	-	ENSG00000273723.1	974	975	0.9989743589743589	975	976
chr13	57632759	57633575	AL445288.1	100	-	lncRNA	AL445288.1	gencode	58772	chr13	57632758	57633575	AL445288.1	100	-	ENSG00000278722.1	816	817	0.9987760097919217	817	818
chr13	75549773	75807120	AL137782.1	100	+	lncRNA	AL137782.1	gencode	60222	chr13	75549772	75807120	AL137782.1	100	+	ENSG00000261553.5	257347	257348	0.9999961142111071	257348	257349
chr13	75631271	75632135	AL137244.1	100	+	lncRNA	AL137244.1	gencode	60228	chr13	75631270	75632135	AL137244.1	100	+	ENSG00000228444.2	864	865	0.9988439306358381	865	866
chr13	75871038	75883811	LMO7DN	100	+	lncRNA	LMO7DN	gencode	60246	chr13	75871037	75883811	LMO7DN	100	+	ENSG00000178734.5	12773	12774	0.9999217159855958	12774	12775
chr13	76887551	76891135	AC000403.1	100	+	lncRNA	AC000403.1	gencode	60327	chr13	76887550	76891135	AC000403.1	100	+	ENSG00000278727.1	3584	3585	0.999721059972106	3585	3586
chr13	77027944	77028482	AC001226.1	100	+	lncRNA	AC001226.1	gencode	60350	chr13	77027943	77028482	AC001226.1	100	+	ENSG00000274898.1	538	539	0.9981447124304267	539	540
chr13	79406293	79427317	RBM26-AS1	100	+	lncRNA	RBM26-AS1	gencode	60555	chr13	79406292	79427317	RBM26-AS1	100	+	ENSG00000227354.7	21024	21025	0.9999524375743163	21025	21026
chr13	91347820	91354579	MIR17HG	100	+	lncRNA	MIR17HG	gencode	61258	chr13	91347819	91354579	MIR17HG	100	+	ENSG00000215417.13	6759	6760	0.9998520710059171	6760	6761
chr13	91485793	91486870	AL356118.1	100	+	TEC	AL356118.1	gencode	61283	chr13	91485792	91486870	AL356118.1	100	+	ENSG00000282864.1	1077	1078	0.9990723562152134	1078	1079
chr13	92446470	92449056	AL159152.1	100	+	TEC	AL159152.1	gencode	61304	chr13	92446469	92449056	AL159152.1	100	+	ENSG00000283097.1	2586	2587	0.9996134518747584	2587	2588
chr13	93226612	93227317	AL354811.1	100	-	lncRNA	AL354811.1	gencode	61327	chr13	93226611	93227317	AL354811.1	100	-	ENSG00000278177.1	705	706	0.9985835694050992	706	707
chr13	94703454	94803430	SOX21-AS1	100	+	lncRNA	SOX21-AS1	gencode	61417	chr13	94703453	94803430	SOX21-AS1	100	+	ENSG00000227640.3	99976	99977	0.9999899976994708	99977	99978
chr13	95648733	95676955	DNAJC3-DT	100	-	lncRNA	DNAJC3-DT	gencode	61494	chr13	95648732	95676955	DNAJC3-DT	100	-	ENSG00000247400.4	28222	28223	0.999964567905609	28223	28224
chr13	95744726	95745765	AL138955.1	100	+	lncRNA	AL138955.1	gencode	61501	chr13	95744725	95745765	AL138955.1	100	+	ENSG00000276809.1	1039	1040	0.9990384615384615	1040	1041
chr13	97437268	97437630	AL442067.2	100	+	lncRNA	AL442067.2	gencode	61583	chr13	97437267	97437630	AL442067.2	100	+	ENSG00000276704.1	362	363	0.9972451790633609	363	364
chr13	98233650	98234700	AL445223.1	100	+	lncRNA	AL445223.1	gencode	61638	chr13	98233649	98234700	AL445223.1	100	+	ENSG00000269189.1	1050	1051	0.9990485252140818	1051	1052
chr13	98577244	98578830	STK24-AS1	100	+	lncRNA	STK24-AS1	gencode	61671	chr13	98577243	98578830	STK24-AS1	100	+	ENSG00000224418.1	1586	1587	0.9993698802772527	1587	1588
chr13	99087819	99088625	DOCK9-DT	100	+	lncRNA	DOCK9-DT	gencode	61733	chr13	99087818	99088625	DOCK9-DT	100	+	ENSG00000260992.1	806	807	0.9987608426270136	807	808
chr13	99181223	99200757	UBAC2-AS1	100	-	lncRNA	UBAC2-AS1	gencode	61743	chr13	99181222	99200757	UBAC2-AS1	100	-	ENSG00000228889.7	19534	19535	0.999948809828513	19535	19536
chr13	99486962	99499306	LINC01232	100	-	lncRNA	LINC01232	gencode	61779	chr13	99486961	99499306	LINC01232	100	-	ENSG00000280734.3	12344	12345	0.9999189955447549	12345	12346
chr13	99498737	99501250	AL139035.1	100	+	lncRNA	AL139035.1	gencode	61780	chr13	99498736	99501250	AL139035.1	100	+	ENSG00000280710.3	2513	2514	0.9996022275258553	2514	2515
chr13	99499727	99501052	LINC00449	100	-	lncRNA	LINC00449	gencode	61781	chr13	99499726	99501052	LINC00449	100	-	ENSG00000203441.2	1325	1326	0.9992458521870287	1326	1327
chr13	100053074	100088950	PCCA-DT	100	-	lncRNA	PCCA-DT	gencode	61825	chr13	100053073	100088950	AL355338.1	100	-	ENSG00000274605.2	35876	35877	0.9999721269894362	35877	35878
chr13	100537365	100539567	AL136526.1	100	+	lncRNA	AL136526.1	gencode	61849	chr13	100537364	100539567	AL136526.1	100	+	ENSG00000280169.1	2202	2203	0.9995460735360872	2203	2204
chr13	102292327	102394519	FGF14-IT1	100	-	lncRNA	FGF14-IT1	gencode	61916	chr13	102292326	102394519	FGF14-IT1	100	-	ENSG00000243319.7	102192	102193	0.9999902145939545	102193	102194
chr13	102299790	102300272	AL356266.1	100	-	TEC	AL356266.1	gencode	61917	chr13	102299789	102300272	AL356266.1	100	-	ENSG00000279702.1	482	483	0.9979296066252588	483	484
chr13	102394630	102395703	FGF14-AS2	100	+	lncRNA	FGF14-AS2	gencode	61920	chr13	102394629	102395703	FGF14-AS2	100	+	ENSG00000272143.1	1073	1074	0.9990689013035382	1074	1075
chr13	102593338	102593873	AL158063.1	100	-	lncRNA	AL158063.1	gencode	61933	chr13	102593337	102593873	AL158063.1	100	-	ENSG00000276957.1	535	536	0.9981343283582089	536	537
chr13	106374477	106384315	LINC00460	100	+	lncRNA	LINC00460	gencode	62101	chr13	106374476	106384315	LINC00460	100	+	ENSG00000233532.6	9838	9839	0.999898363654843	9839	9840
chr13	106506046	106506713	AL138689.1	100	-	lncRNA	AL138689.1	gencode	62112	chr13	106506045	106506713	AL138689.1	100	-	ENSG00000274204.1	667	668	0.9985029940119761	668	669
chr13	107465984	107466674	AL445649.1	100	-	lncRNA	AL445649.1	gencode	62157	chr13	107465983	107466674	AL445649.1	100	-	ENSG00000276740.1	690	691	0.9985528219971056	691	692
chr13	107788342	107835451	FAM155A-IT1	100	-	lncRNA	FAM155A-IT1	gencode	62167	chr13	107788341	107835451	FAM155A-IT1	100	-	ENSG00000227248.1	47109	47110	0.9999787730842709	47110	47111
chr13	107870383	107873372	AL136964.1	100	+	lncRNA	AL136964.1	gencode	62179	chr13	107870382	107873372	AL136964.1	100	+	ENSG00000274718.1	2989	2990	0.9996655518394649	2990	2991
chr13	108267320	108267734	AL157762.1	100	+	lncRNA	AL157762.1	gencode	62199	chr13	108267319	108267734	AL157762.1	100	+	ENSG00000277246.1	414	415	0.9975903614457832	415	416
chr13	109269634	109278512	AL161431.1	100	+	lncRNA	AL161431.1	gencode	62234	chr13	109269633	109278512	AL161431.1	100	+	ENSG00000275216.2	8878	8879	0.9998873747043586	8879	8880
chr13	109988097	110129136	AL390755.1	100	-	lncRNA	AL390755.1	gencode	62273	chr13	109988096	110129136	AL390755.1	100	-	ENSG00000275830.2	141039	141040	0.9999929098128191	141040	141041
